BANKLEITZAHL|KOSTENSTELLENGRUPPE|KOSTENSTELLENGRUPPENBEZEICHNUNG|DRUCK_KONDITIONEN|UMSATZGRENZE_SOLL|UMSATZGRENZE_HABEN|SCHECK_SPESEN_STK10|SCHECK_SPESEN_STK20
35001|90|Verwaltung|2|7000|7000|3,50|7,00
35001|50|Beratung Lammertal|2|7000|7000|3,50|7,00
35004|50|Beratung RAFE|2|7000|7000|3,50|7,00
35004|90|Verwaltung|2|7000|7000|3,50|7,00
35007|50|Beratung Anthering-Elixhausen|2|7000|7000|3,50|7,00
35012|90|Verwaltung|2|7000|7000|3,50|7,00
35012|50|Beratung Hohe Tauern|2|7000|7000|3,50|7,00
35015|90|Verwaltung|2|7000|7000|3,50|7,00
35015|50|Beratung Flachgau Mitte|2|7000|7000|3,50|7,00
35016|50|Beratung Faistenau|2|7000|7000|3,50|7,00
35017|50|Beratung Golling|2|7000|7000|3,50|7,00
35018|90|Verwaltung|2|7000|7000|3,50|7,00
35018|50|Beratung Untersberg|2|7000|7000|3,50|7,00
35019|50|Beratung Großarl-Hüttschlag|2|7000|7000|3,50|7,00
35020|50|Beratung Großgmain|2|7000|7000|3,50|7,00
35021|50|Beratung Wallersee|2|7000|7000|3,50|7,00
35021|90|Verwaltung|2|7000|7000|3,50|7,00
35022|90|Verwaltung|2|7000|7000|3,50|7,00
35022|50|Beratung Hallein-Oberalm|2|7000|7000|3,50|7,00
35026|50|Beratung Gastein|2|7000|7000|3,50|7,00
35027|50|Beratung St.Martin-Hüttau-Ni|2|7000|7000|3,50|7,00
35029|90|Verwaltung|2|7000|7000|3,50|7,00
35029|50|Beratung Kuchl-St.Kolomann|2|7000|7000|3,50|7,00
35030|90|Verwaltung|2|7000|7000|3,50|7,00
35030|50|Beratung Flachgau Nord|2|7000|7000|3,50|7,00
35034|90|Verwaltung|2|7000|7000|3,50|7,00
35034|25|Servicekundenbank|2|7000|7000|3,50|7,00
35034|30|Firmenkundenbank|2|7000|7000|3,50|7,00
35034|40|Privatkundenbank|2|7000|7000|3,50|7,00
35039|90|Verwaltung RBO|2|7000|7000|3,50|7,00
35039|92|Overhead RBO|2|7000|7000|3,50|7,00
35039|80|Beratungverbund Ost RBO|2|7000|7000|3,50|7,00
