BANKLEITZAHL|KST_NEU|KST_ALT|BEZEICHNUNG|BEZEICHNUNG_LANG|GESCHÄFTSBEREICH|GESCHÄFTSBEREICH_BEZEICHNUNG|GESCHÄFTSBEREICH_VERANTWORTL|SEGMENT|SEGMENT_BEZEICHNUNG|SEGMENT_VERANTWORTLICHER|ORGEINHEIT|ORGEINHEIT_BEZEICHNUNG|ORGEINHEIT_VERANTWORTLICHER|BEREICH|BEREICH_BEZEICHNUNG|BEREICH_VERANTWORTLICHER|BANKSTELLE|KZ_PLANBAR|KZ_ZUORDNEN|GÜLTIG_BIS|GÜLTIG_VON
35000|001|50000|Warendirektion|50000 Warendirektion|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|002|50001|Marketing Ware|50001 Marketing Ware|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|003|50002|Organisation & Projekte|50002 Organisation & Projekte|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2019-11-01
35000|004|50003|AOM Ware|50003 AOM Ware|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2020-02-05
35000|005|50009|Warenumsätze BRD|50009 Warenumsätze BRD|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|006|51000|GB Markt|51000 GB Markt|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|007|51010|FB Landwirtschaft_RVS|51010 FB Landwirtschaft_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|008|51011|Produktion_RVS|51011 Produktion_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|009|51018|Aussendienst Landwirts.|51018 Aussendienst Landwirts.|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|010|51020|FB Haushalt_RVS|51020 FB Haushalt_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|011|51030|FB Garten_RVS|51030 FB Garten_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|012|51050|FB Werkzeuge|51050 FB Werkzeuge|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|013|51100|FB Energie_RVS|51100 FB Energie_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|014|52000|GB Baustoffe|52000 GB Baustoffe|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|015|52010|FB Rohbau_RVS|52010 FB Rohbau_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|016|52020|FB Innenausbau_RVS|52020 FB Innenausbau_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|017|53000|VL Technik_RVS|53000 VL Technik_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|018|53100|FB Technik/Verkauf_RVS|53100 FB Technik/Verkauf_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|019|53101|HV Technik Bergheim|53101 HV Technik Bergheim|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|020|53109|Technik Flachgau Ost|53109 Technik Flachgau Ost|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2017-01-01
35000|021|53111|Technik/Verkauf Sbg.|53111 Technik/Verkauf Sbg.|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|022|53200|FB Werkstätten_RVS|53200 FB Werkstätten_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|023|53211|Wst. Salzburg/E-Lager|53211 Wst. Salzburg/E-Lager|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|024|53212|Technik Flachau|53212 Technik Flachau|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|025|53213|Technik Tamsweg_RVS|53213 Technik Tamsweg_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|026|53214|Technik Kuchl|53214 Technik Kuchl|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|027|53215|Technik Saalfelden_RVS|53215 Technik Saalfelden_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|028|53216|Technik St. Johann_RVS|53216 Technik St. Johann_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|029|53218|Technik Bramberg|53218 Technik Bramberg|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|030|53220|Technik Bruck|53220 Technik Bruck|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|031|53237|Kühl- u. Melktechnik|53237 Kühl- u. Melktechnik|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|032|54000|Zentrallager Bergheim|54000 Zentrallager Bergheim|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|033|54103|Lager Raiff. Str. 27|54103 Lager Raiff. Str. 27|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|034|54106|Tanklager Lehen_RVS|54106 Tanklager Lehen_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|035|54107|Tanklager Saalfelden_RVS|54107 Tanklager Saalfelden_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|036|54201|Zentraler Fuhrpark|54201 Zentraler Fuhrpark|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|037|54202|Fuhrpark Pongau_RVS|54202 Fuhrpark Pongau_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|038|54203|Fuhrpark Pinzgau_RVS|54203 Fuhrpark Pinzgau_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|039|54209|Fuhrpark Energie_RVS|54209 Fuhrpark Energie_RVS|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|040|55000|Vl. Flach-/Tennengau|55000 Vl. Flach-/Tennengau|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|041|55001|Lgh Abersee|55001 Lgh Abersee|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|042|55003|Lgh Bergheim|55003 Lgh Bergheim|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|043|55005|Lgh Elsbethen|55005 Lgh Elsbethen|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|044|55006|Lgh Eugendorf|55006 Lgh Eugendorf|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|045|55007|Lgh Grödig|55007 Lgh Grödig|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|046|55008|Lgh Hallein|55008 Lgh Hallein|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|047|55009|Lgh St. Koloman|55009 Lgh St. Koloman|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2017-01-01
35000|048|55011|Lgh Michaelbeuern|55011 Lgh Michaelbeuern|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|049|55013|Lgh Steindorf|55013 Lgh Steindorf|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|050|55016|Lgh Wals|55016 Lgh Wals|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|051|55017|Lgh Hof|55017 Lgh Hof|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|052|55025|Lgh Göming|55025 Lgh Göming|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|053|56000|Vl. Lungau|56000 Vl. Lungau|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|054|56001|Lgh Tamsweg|56001 Lgh Tamsweg|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|055|56002|Lgh St. Michael|56002 Lgh St. Michael|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|056|56012|Lgh Zederhaus|56012 Lgh Zederhaus|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|057|56040|HV Lwz Tamsweg|56040 HV Lwz Tamsweg|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|058|57000|Vl. Pongau|57000 Vl. Pongau|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|059|57001|Lgh Bischofshofen|57001 Lgh Bischofshofen|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|060|57002|Lgh Grossarl|57002 Lgh Grossarl|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|061|57004|Lgh Rauris|57004 Lgh Rauris|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|062|57006|Lgh St. Johann|57006 Lgh St. Johann|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|063|57007|Lgh Taxenbach|57007 Lgh Taxenbach|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|064|57008|Lgh Wagrain|57008 Lgh Wagrain|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|065|57040|Hv Lwz St. Johann|57040 Hv Lwz St. Johann|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|066|58000|Vl. Pinzgau|58000 Vl. Pinzgau|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|067|58001|Lgh Oberpinzgau|58001 Lgh Oberpinzgau|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|068|58002|Lgh Bruck|58002 Lgh Bruck|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|069|58004|Lgh Mittersill|58004 Lgh Mittersill|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|070|58006|Lgh Niedernsill|58006 Lgh Niedernsill|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|071|58007|Lgh Saalbach|58007 Lgh Saalbach|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|072|58008|Lgh Saalfelden|58008 Lgh Saalfelden|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|073|58009|Lgh St. Martin|58009 Lgh St. Martin|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|074|59000|Vl. Obetrum|59000 Vl. Obetrum|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|075|59001|Lgh Obertrum|59001 Lgh Obertrum|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2015-01-01
35000|076|50040|BGA Warenzentrale|50040 BGA Warenzentrale|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2022-01-01
35000|077|50041|BGA Kantine Bergheim|50041 BGA Kantine Bergheim|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2022-01-01
35000|080|10336|IT-Ware|10336 IT-Ware|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2022-01-01
35000|081|41400|RW & CO Warenbetriebe|41400 RW & CO Warenbetriebe|11|Ware||11|Ware||11|Ware||11|Ware||00||J|9999-12-31|2023-01-01
35000|101|10100|Revision|10100 Revision|10|Revision||10|Revision||10|Revision||10|Revision||00|J|J|9999-12-31|2017-01-01
35000|110|30100|Zentr Auslieferungslager|30100 Zentr Auslieferungslager|90|Beteiligungen & Immobilien||90|Immobilien||91|Ware 3er||91|Ware 3er||00|J|J|9999-12-31|2022-01-01
35000|111|30140|HV Warenzentrale Berheim|30140 HV Warenzentrale Berheim|90|Beteiligungen & Immobilien||90|Immobilien||91|Ware 3er||91|Ware 3er||00|J|J|9999-12-31|2022-01-01
35000|112|31102|Lgh.Techn.Flachau/Altenm|31102 Lgh.Techn.Flachau/Altenm|90|Beteiligungen & Immobilien||90|Immobilien||91|Ware 3er||91|Ware 3er||00|J|J|9999-12-31|2022-01-01
35000|113|31108|Lgh.Technik Bramberg|31108 Lgh.Technik Bramberg|90|Beteiligungen & Immobilien||90|Immobilien||91|Ware 3er||91|Ware 3er||00|J|J|9999-12-31|2022-01-01
35000|114|31110|Lgh.Technik Buck|31110 Lgh.Technik Buck|90|Beteiligungen & Immobilien||90|Immobilien||91|Ware 3er||91|Ware 3er||00|J|J|9999-12-31|2022-01-01
35000|115|31140|Lgh.Technik Bergheim|31140 Lgh.Technik Bergheim|90|Beteiligungen & Immobilien||90|Immobilien||91|Ware 3er||91|Ware 3er||00|J|J|9999-12-31|2022-01-01
35000|116|32001|Lagerhaus Abersee|32001 Lagerhaus Abersee|90|Beteiligungen & Immobilien||90|Immobilien||91|Ware 3er||91|Ware 3er||00|J|J|9999-12-31|2022-01-01
35000|117|32005|Lagerhaus Bergheim|32005 Lagerhaus Bergheim|90|Beteiligungen & Immobilien||90|Immobilien||91|Ware 3er||91|Ware 3er||00|J|J|9999-12-31|2022-01-01
35000|118|32006|Lagerhaus Elsbethen|32006 Lagerhaus Elsbethen|90|Beteiligungen & Immobilien||90|Immobilien||91|Ware 3er||91|Ware 3er||00|J|J|9999-12-31|2022-01-01
35000|119|32007|Lagerhaus Eugendorf|32007 Lagerhaus Eugendorf|90|Beteiligungen & Immobilien||90|Immobilien||91|Ware 3er||91|Ware 3er||00|J|J|9999-12-31|2022-01-01
35000|120|32008|Lagerhaus Hallein|32008 Lagerhaus Hallein|90|Beteiligungen & Immobilien||90|Immobilien||91|Ware 3er||91|Ware 3er||00|J|J|9999-12-31|2022-01-01
35000|121|32011|Lagerhaus Hof|32011 Lagerhaus Hof|90|Beteiligungen & Immobilien||90|Immobilien||91|Ware 3er||91|Ware 3er||00|J|J|9999-12-31|2022-01-01
